block_number,trial_type,elements,feedb,figure,colors,change,unique,all,wait,ftime,mtime,stime,tip,tip_time
5,training,9,1,1,0,0,1,1,0,2,1.5,4,,0
5,training,9,1,1,0,0,1,1,0,2,1.5,4,,0
5,training,9,1,1,0,0,1,1,0,2,1.5,4,,0
5,training,9,1,1,0,2,1,1,0,2,1.5,4,,0
5,training,9,1,1,0,2,1,1,0,2,1.5,4,,0
5,training,9,1,1,0,2,1,1,0,2,1.5,4,,0
6,instruction,,,,,,,,,,,,after_figury_training.txt,-1
6,experiment,6,0,1,0,0,1,1,0,2,1.5,4,,0
6,experiment,6,0,1,0,0,1,1,0,2,1.5,4,,0
6,experiment,6,0,1,0,0,1,1,0,2,1.5,4,,0
6,experiment,6,0,1,0,2,1,1,0,2,1.5,4,,0
6,experiment,6,0,1,0,2,1,1,0,2,1.5,4,,0
6,experiment,6,0,1,0,2,1,1,0,2,1.5,4,,0
6,experiment,9,0,1,0,0,1,1,0,2,1.5,4,,0
6,experiment,9,0,1,0,0,1,1,0,2,1.5,4,,0
6,experiment,9,0,1,0,0,1,1,0,2,1.5,4,,0
6,experiment,9,0,1,0,2,1,1,0,2,1.5,4,,0
6,experiment,9,0,1,0,2,1,1,0,2,1.5,4,,0
6,experiment,9,0,1,0,2,1,1,0,2,1.5,4,,0
